date,tic,close
2016-10-14,Durbl,0.14
2016-10-17,Durbl,-0.49
2016-10-18,Durbl,0.32
2016-10-19,Durbl,1.14
2016-10-20,Durbl,-0.77
2016-10-21,Durbl,0.13
2016-10-24,Durbl,1.28
2016-10-25,Durbl,-2.26
2016-10-26,Durbl,0.2
2016-10-27,Durbl,-0.84
2016-10-28,Durbl,-0.01
2016-10-31,Durbl,0.19
2016-11-01,Durbl,-1.23
2016-11-02,Durbl,-0.83
2016-11-03,Durbl,-0.31
2016-11-04,Durbl,0.59
2016-11-07,Durbl,2.04
2016-11-08,Durbl,0.02
2016-11-09,Durbl,0.59
2016-11-10,Durbl,2.62
2016-11-11,Durbl,1.4
2016-11-14,Durbl,-0.06
2016-11-15,Durbl,0.5
2016-11-16,Durbl,-0.2
2016-11-17,Durbl,0.32
2016-11-18,Durbl,-0.6
2016-11-21,Durbl,0.52
2016-11-22,Durbl,1.45
2016-11-23,Durbl,0.46
2016-11-25,Durbl,0.85
2016-11-28,Durbl,-1.12
2016-11-29,Durbl,-0.02
2016-11-30,Durbl,0.37
2016-12-01,Durbl,2.06
2016-12-02,Durbl,-1.08
2016-12-05,Durbl,1.44
2016-12-06,Durbl,0.51
2016-12-07,Durbl,3.08
2016-12-08,Durbl,0.12
2016-12-09,Durbl,0.83
2016-12-12,Durbl,-0.89
2016-12-13,Durbl,0.47
2016-12-14,Durbl,-1.88
2016-12-15,Durbl,0.2
2016-12-16,Durbl,0.32
2016-12-19,Durbl,0.2
2016-12-20,Durbl,0.92
2016-12-21,Durbl,-0.28
2016-12-22,Durbl,-1.18
2016-12-23,Durbl,0.53
2016-12-27,Durbl,0.49
2016-12-28,Durbl,-0.95
2016-12-29,Durbl,-0.22
2016-12-30,Durbl,-0.62
2017-01-03,Durbl,1.55
2017-01-04,Durbl,2.72
2017-01-05,Durbl,-1.33
2017-01-06,Durbl,-0.13
2017-01-09,Durbl,-1.22
2017-01-10,Durbl,1.61
2017-01-11,Durbl,0.19
2017-01-12,Durbl,-0.56
2017-01-13,Durbl,0.86
2017-01-17,Durbl,-0.68
2017-01-18,Durbl,0.17
2017-01-19,Durbl,-0.08
2017-01-20,Durbl,0.01
2017-01-23,Durbl,-0.23
2017-01-24,Durbl,1.84
2017-01-25,Durbl,1.51
2017-01-26,Durbl,-1.64
2017-01-27,Durbl,-0.61
2017-01-30,Durbl,-1.27
2017-01-31,Durbl,0.33
2017-02-01,Durbl,-0.06
2017-02-02,Durbl,-0.84
2017-02-03,Durbl,1.08
2017-02-06,Durbl,0.24
2017-02-07,Durbl,-1.14
2017-02-08,Durbl,0.19
2017-02-09,Durbl,0.84
2017-02-10,Durbl,0.57
2017-02-13,Durbl,1.03
2017-02-14,Durbl,0.85
2017-02-15,Durbl,0.03
2017-02-16,Durbl,-0.85
2017-02-17,Durbl,0.48
2017-02-21,Durbl,1.11
2017-02-22,Durbl,-0.31
2017-02-23,Durbl,-1.52
2017-02-24,Durbl,-0.34
2017-02-27,Durbl,0.35
2017-02-28,Durbl,-0.94
2017-03-01,Durbl,1.75
2017-03-02,Durbl,-0.36
2017-03-03,Durbl,0.37
2017-03-06,Durbl,-0.93
2017-03-07,Durbl,-0.7
2017-03-08,Durbl,0.04
2017-03-09,Durbl,-0.66
2017-03-10,Durbl,0.57
2017-03-13,Durbl,0.55
2017-03-14,Durbl,0.44
2017-03-15,Durbl,1.12
2017-03-16,Durbl,0.19
2017-03-17,Durbl,-0.65
2017-03-20,Durbl,-0.72
2017-03-21,Durbl,-2.99
2017-03-22,Durbl,0.21
2017-03-23,Durbl,-0.16
2017-03-24,Durbl,0.39
2017-03-27,Durbl,0.03
2017-03-28,Durbl,1.47
2017-03-29,Durbl,0.25
2017-03-30,Durbl,0.17
2017-03-31,Durbl,-0.03
2017-04-03,Durbl,-0.53
2017-04-04,Durbl,-0.8
2017-04-05,Durbl,-1.09
2017-04-06,Durbl,0.69
2017-04-07,Durbl,-0.13
2017-04-10,Durbl,0.93
2017-04-11,Durbl,0.11
2017-04-12,Durbl,-1.52
2017-04-13,Durbl,-0.71
2017-04-17,Durbl,0.93
2017-04-18,Durbl,-0.41
2017-04-19,Durbl,0.74
2017-04-20,Durbl,1.33
2017-04-21,Durbl,-0.47
2017-04-24,Durbl,1.37
2017-04-25,Durbl,0.65
2017-04-26,Durbl,0.51
2017-04-27,Durbl,0.33
2017-04-28,Durbl,-0.16
2017-05-01,Durbl,0.03
2017-05-02,Durbl,-1.14
2017-05-03,Durbl,-0.28
2017-05-04,Durbl,-0.94
2017-05-05,Durbl,1.43
2017-05-08,Durbl,-0.13
2017-05-09,Durbl,1.07
2017-05-10,Durbl,0.07
2017-05-11,Durbl,-0.69
2017-05-12,Durbl,-1
2017-05-15,Durbl,0.15
2017-05-16,Durbl,-0.15
2017-05-17,Durbl,-2.55
2017-05-18,Durbl,0.17
2017-05-19,Durbl,0.67
2017-05-22,Durbl,0.74
2017-05-23,Durbl,-0.15
2017-05-24,Durbl,0.21
2017-05-25,Durbl,-0.15
2017-05-26,Durbl,0.89
2017-05-30,Durbl,1.05
2017-05-31,Durbl,0.65
2017-06-01,Durbl,1.41
2017-06-02,Durbl,0.05
2017-06-05,Durbl,0.14
2017-06-06,Durbl,0.07
2017-06-07,Durbl,0.24
2017-06-08,Durbl,0.6
2017-06-09,Durbl,-0.23
2017-06-12,Durbl,0.64
2017-06-13,Durbl,0.82
2017-06-14,Durbl,-0.06
2017-06-15,Durbl,-0.15
2017-06-16,Durbl,-0.81
2017-06-19,Durbl,0.32
2017-06-20,Durbl,-0.78
2017-06-21,Durbl,-0.3
2017-06-22,Durbl,0.54
2017-06-23,Durbl,-0.08
2017-06-26,Durbl,0.48
2017-06-27,Durbl,-1.56
2017-06-28,Durbl,1.49
2017-06-29,Durbl,-0.13
2017-06-30,Durbl,0.66
2017-07-03,Durbl,0.71
2017-07-05,Durbl,-1.75
2017-07-06,Durbl,-1.59
2017-07-07,Durbl,0.82
2017-07-10,Durbl,0.6
2017-07-11,Durbl,0.62
2017-07-12,Durbl,0.37
2017-07-13,Durbl,0.21
2017-07-14,Durbl,0.76
2017-07-17,Durbl,-0.25
2017-07-18,Durbl,0.22
2017-07-19,Durbl,0.33
2017-07-20,Durbl,-0.19
2017-07-21,Durbl,-0.9
2017-07-24,Durbl,0.35
2017-07-25,Durbl,0.14
2017-07-26,Durbl,-0.22
2017-07-27,Durbl,-0.31
2017-07-28,Durbl,-0.44
2017-07-31,Durbl,-0.45
2017-08-01,Durbl,-1.31
2017-08-02,Durbl,0.34
2017-08-03,Durbl,0.89
2017-08-04,Durbl,0.92
2017-08-07,Durbl,0.05
2017-08-08,Durbl,0.24
2017-08-09,Durbl,-0.48
2017-08-10,Durbl,-1.82
2017-08-11,Durbl,0.14
2017-08-14,Durbl,1.25
2017-08-15,Durbl,-0.53
2017-08-16,Durbl,0.08
2017-08-17,Durbl,-1.89
2017-08-18,Durbl,-0.58
2017-08-21,Durbl,-0.58
2017-08-22,Durbl,0.94
2017-08-23,Durbl,0.25
2017-08-24,Durbl,-0.17
2017-08-25,Durbl,0.12
2017-08-28,Durbl,-0.13
2017-08-29,Durbl,0.25
2017-08-30,Durbl,0.98
2017-08-31,Durbl,1.14
2017-09-01,Durbl,1.04
2017-09-05,Durbl,-0.93
2017-09-06,Durbl,0.12
2017-09-07,Durbl,-0.36
2017-09-08,Durbl,0.09
2017-09-11,Durbl,1.45
2017-09-12,Durbl,1.07
2017-09-13,Durbl,0.39
2017-09-14,Durbl,0.99
2017-09-15,Durbl,0.19
2017-09-18,Durbl,0.34
2017-09-19,Durbl,-0.36
2017-09-20,Durbl,0.19
2017-09-21,Durbl,-0.23
2017-09-22,Durbl,0.06
2017-09-25,Durbl,0.4
2017-09-26,Durbl,0.29
2017-09-27,Durbl,0.37
2017-09-28,Durbl,-0.01
2017-09-29,Durbl,0.18
2017-10-02,Durbl,1.45
2017-10-03,Durbl,1.17
2017-10-04,Durbl,0.78
2017-10-05,Durbl,-0.18
2017-10-06,Durbl,0.29
2017-10-09,Durbl,-0.67
2017-10-10,Durbl,0.45
2017-10-11,Durbl,-0.03
2017-10-12,Durbl,-0.44
2017-10-13,Durbl,0.35
2017-10-16,Durbl,0
2017-10-17,Durbl,-0.14
2017-10-18,Durbl,0.26
2017-10-19,Durbl,-0.21
2017-10-20,Durbl,0.43
2017-10-23,Durbl,-0.9
2017-10-24,Durbl,0.32
2017-10-25,Durbl,-1.67
2017-10-26,Durbl,0.94
2017-10-27,Durbl,-0.88
2017-10-30,Durbl,-1.05
2017-10-31,Durbl,1.08
2017-11-01,Durbl,-0.35
2017-11-02,Durbl,-2.41
2017-11-03,Durbl,-0.05
2017-11-06,Durbl,-0.49
2017-11-07,Durbl,-0.53
2017-11-08,Durbl,0.08
2017-11-09,Durbl,-0.69
2017-11-10,Durbl,0.16
2017-11-13,Durbl,0.96
2017-11-14,Durbl,-0.85
2017-11-15,Durbl,-0.33
2017-11-16,Durbl,1.19
2017-11-17,Durbl,-0.03
2017-11-20,Durbl,0.76
2017-11-21,Durbl,0.59
2017-11-22,Durbl,-0.56
2017-11-24,Durbl,0.14
2017-11-27,Durbl,0.12
2017-11-28,Durbl,1.77
2017-11-29,Durbl,-0.21
2017-11-30,Durbl,0.32
2017-12-01,Durbl,-0.57
2017-12-04,Durbl,0.28
2017-12-05,Durbl,-0.76
2017-12-06,Durbl,-0.25
2017-12-07,Durbl,0.44
2017-12-08,Durbl,0.55
2017-12-11,Durbl,0.13
2017-12-12,Durbl,0.57
2017-12-13,Durbl,-0.36
2017-12-14,Durbl,-1.3
2017-12-15,Durbl,0.99
2017-12-18,Durbl,1.29
2017-12-19,Durbl,-0.07
2017-12-20,Durbl,0.01
2017-12-21,Durbl,0.22
2017-12-22,Durbl,-0.54
2017-12-26,Durbl,-0.28
2017-12-27,Durbl,-0.57
2017-12-28,Durbl,0.53
2017-12-29,Durbl,-0.99
2018-01-02,Durbl,1.56
2018-01-03,Durbl,0.64
2018-01-04,Durbl,1.22
2018-01-05,Durbl,0.61
2018-01-08,Durbl,0.85
2018-01-09,Durbl,-0.43
2018-01-10,Durbl,-0.98
2018-01-11,Durbl,1.8
2018-01-12,Durbl,0.55
2018-01-16,Durbl,-0.61
2018-01-17,Durbl,-0.1
2018-01-18,Durbl,-0.75
2018-01-19,Durbl,0.41
2018-01-22,Durbl,0.19
2018-01-23,Durbl,0.03
2018-01-24,Durbl,0.51
2018-01-25,Durbl,-2.08
2018-01-26,Durbl,0.98
2018-01-29,Durbl,-0.6
2018-01-30,Durbl,-0.77
2018-01-31,Durbl,-0.24
2018-02-01,Durbl,-0.08
2018-02-02,Durbl,-2.49
2018-02-05,Durbl,-3.8
2018-02-06,Durbl,2.92
2018-02-07,Durbl,0.75
2018-02-08,Durbl,-4.36
2018-02-09,Durbl,0.68
2018-02-12,Durbl,1.24
2018-02-13,Durbl,-0.36
2018-02-14,Durbl,1.2
2018-02-15,Durbl,0.81
2018-02-16,Durbl,-0.81
2018-02-20,Durbl,-0.44
