date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2017-01-26,38.25,99.3619,45.8,78.61,70.45,73.58,71.82,0.25815767,0.09327255,0.07284863,0.40605676,0.05779279,0.056253057,0.05561854,-29.203033,-6.7578526,-1.9977213,0.8204365,2.6455166,4.475647,7.1592016,11.50472,24.540749,2.6455166,0.026947739,6.619709
2017-01-27,38.25,99.53,45.82,78.73,70.35,73.33,71.51,0.2695149,0.08483152,0.071369246,0.40464452,0.058229044,0.056098893,0.055311903,-29.854069,-6.9865885,-2.1225786,0.7933617,2.6865284,4.5922756,7.442316,12.096678,25.738638,2.6865284,-0.4736525,6.1460567
2017-01-30,38.0,99.61,45.68,78.25,70.04,73.04,71.06,0.28934798,0.094404146,0.069421545,0.38615063,0.054974046,0.053021595,0.05268004,-32.11677,-7.169853,-1.8241987,1.3663951,3.4515615,5.520777,8.4589615,13.2666,27.215921,3.4515615,0.08073257,6.226789
2017-01-31,38.11,99.66,45.79,78.25,69.9,72.95,71.08,0.32892162,0.07080201,0.05744026,0.3817707,0.0569215,0.052232634,0.05191121,-29.271385,-5.956809,-1.0822637,1.848701,3.7070684,5.5659437,8.307336,12.796211,25.396263,3.7070684,0.017079977,6.243869
2017-02-01,38.11,99.19,45.48,78.43,69.8,72.61,71.57,0.32542843,0.08025365,0.05959063,0.37601846,0.055917017,0.051579967,0.05121186,-27.422565,-4.7423334,-0.07992482,2.6459754,4.4377737,6.1890297,8.598787,12.571069,23.870863,4.4377737,0.35313708,6.597006
2017-02-02,38.41,99.44,45.75,78.57,69.82,72.87,71.44,0.29175723,0.09096492,0.06619477,0.3883277,0.05658116,0.05328964,0.052884575,-26.926945,-4.5532126,-0.2849628,2.42015,4.269355,6.018091,7.969124,11.241515,21.143625,4.269355,0.59081835,7.1878242
2017-02-03,38.82,99.4,45.99,78.89,70.33,73.59,72.18,0.31835407,0.0884892,0.062291995,0.37277123,0.055853024,0.051567215,0.050673217,-26.500568,-4.316959,-0.022100568,2.4648838,4.137764,5.7431574,7.8094573,11.132298,20.724924,4.137764,0.20918445,7.397009
2017-02-06,39.17,99.4,45.86,78.85,70.25,73.426,72.12,0.31209207,0.07974865,0.067534454,0.37977913,0.056539506,0.05275317,0.05155302,-23.34528,-3.2622023,0.54576886,2.9486701,4.6011076,6.134993,7.924242,10.87376,19.663227,4.6011076,-0.06896368,7.3280454
2017-02-07,38.88,99.7199,45.98,79.09,70.36,73.42,71.96,0.29532713,0.09640858,0.07519289,0.3725417,0.05729823,0.052579224,0.050652254,-24.268364,-3.5925376,0.52055,2.9900265,4.737935,6.3543606,8.27225,11.520683,21.225815,4.737935,0.3151648,7.6432104
2017-02-08,39.1699,99.7605,46.14,79.29,70.33,73.5603,71.84,0.28339216,0.07863335,0.0821724,0.38458344,0.06279114,0.0561804,0.052247103,-25.706944,-4.093293,-0.03958702,2.5102232,4.3474226,6.0639067,7.941439,11.083564,21.051767,4.3474226,0.34044278,7.983653
2017-02-09,39.4,99.66,46.34,79.44,70.68,74.0335,72.33,0.05143964,0.051868964,0.29179516,0.32975242,0.10629958,0.12303008,0.045814153,-34.988014,-8.211959,-3.4188983,-0.57238984,1.6947801,3.6557245,6.25041,10.132047,22.70577,1.6947801,0.35089394,8.334547
2017-02-10,39.7,99.628,46.51,79.69,71.02,74.43,72.56,0.0479075,0.04972876,0.29366976,0.31780425,0.11224037,0.13417786,0.044471487,-37.499184,-9.588965,-4.4169207,-1.3264992,1.2373698,3.4007828,6.263304,10.477898,24.156857,1.2373698,0.31945994,8.654007
