date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-12-28,35.17,98.905,45.15,76.3,69.31,71.65,70.55,0.3880577,0.15160446,0.04649431,0.29824093,0.04101325,0.03733126,0.037258137,-25.645994,-5.0853205,-1.7870712,0.40323997,2.3577518,4.266527,6.769179,12.21665,24.209064,2.3577518,0.61895305,3.2599723
2016-12-29,35.7,99.11,45.37,76.46,69.39,71.86,70.44,0.34900185,0.12291678,0.058271226,0.3366615,0.047961622,0.042700224,0.042486846,-19.958593,-4.2731953,-1.6434219,0.11321543,1.9922036,3.6627376,5.7063084,10.20255,20.960384,1.9922036,-0.47085616,2.7891161
2016-12-30,35.48,99.1,45.22,75.86,69.1,71.82,70.19,0.33699885,0.15560105,0.04934517,0.33524898,0.04170615,0.04055456,0.040545326,-19.98001,-4.4401865,-1.0886776,0.59193945,2.240623,3.7506359,5.552661,9.204832,19.371279,2.240623,0.5076415,3.2967577
2017-01-03,35.86,99.3037,45.34,76.08,69.6,71.94,70.92,0.33323035,0.15732808,0.054999486,0.3291943,0.04278459,0.04124035,0.04122286,-19.689064,-4.3179603,-1.5846329,0.09443386,1.879837,3.5035965,5.593197,9.554358,20.778986,1.879837,0.7246819,4.0214396
2017-01-04,36.38,99.3434,45.55,76.53,69.99,72.7997,71.67,0.33360884,0.14128101,0.05730489,0.33399343,0.045972556,0.043959133,0.043880165,-20.54397,-5.316478,-2.43796,-0.6507435,1.2748905,3.0751524,5.301799,9.470583,21.383575,1.2748905,0.41830856,4.4397483
2017-01-05,36.76,99.68,45.6,76.78,69.92,72.6331,71.28,0.33733192,0.121010415,0.060427662,0.34148264,0.049234193,0.04537522,0.04513803,-23.188534,-6.549859,-3.3361664,-1.3057823,0.73272026,2.7552543,5.2464814,9.858081,22.945686,0.73272026,-0.05034469,4.389404
2017-01-06,36.47,99.5,45.66,77.22,70.16,72.876,71.21,0.32805216,0.13983026,0.06648546,0.32000652,0.05067617,0.047610894,0.047338534,-24.645264,-6.493808,-2.948291,-0.68362874,1.5312878,3.814526,6.6749907,11.806049,26.678782,1.5312878,0.082643755,4.472048
2017-01-09,36.68,99.6,45.44,77.19,69.81,72.5268,70.95,0.3096801,0.119810164,0.067477405,0.34917805,0.053308204,0.05047378,0.050072324,-26.881176,-7.0927706,-3.2475424,-0.716803,1.6443611,4.084355,7.089671,12.505547,28.115808,1.6443611,0.18025512,4.6523027
2017-01-10,36.94,99.6,45.38,77.15,69.7,72.5125,71.23,0.30004215,0.12909345,0.06265279,0.3579612,0.0510249,0.049691502,0.049533997,-23.703398,-5.715803,-1.957144,0.27867514,2.278482,4.375815,7.029044,11.802999,25.546795,2.278482,0.29991555,4.952218
2017-01-11,37.21,99.4498,45.52,77.4,69.74,72.4743,71.25,0.29228383,0.12045227,0.0650099,0.36653832,0.052926484,0.05153509,0.051254082,-23.232847,-5.726407,-2.0166407,0.21463831,2.2157295,4.3071547,7.072826,11.962923,25.910168,2.2157295,0.16223967,5.1144576
2017-01-12,37.47,99.7399,45.51,77.31,69.66,72.63,70.99,0.2868662,0.124741666,0.073367365,0.3567536,0.054036677,0.05233526,0.051899284,-22.91505,-5.740508,-2.3101435,-0.15146525,1.8679312,3.9309535,6.66053,11.616863,25.816332,1.8679312,0.015148672,5.1296062
2017-01-13,37.4,99.46,45.54,77.5,69.66,72.77,71.03,0.28162357,0.12954092,0.077643156,0.34708467,0.05601132,0.05432972,0.053766537,-23.820246,-6.652585,-3.0065274,-0.6909302,1.4233539,3.5864766,6.5637703,11.731368,26.89383,1.4233539,0.050596163,5.1802025
2017-01-17,37.54,99.78,45.68,77.32,69.7,72.5882,70.72,0.28612217,0.12277666,0.072790064,0.35384303,0.05622597,0.054356348,0.05388581,-23.621508,-6.02151,-2.1833093,0.08214599,2.0981867,4.193709,7.0501413,12.073996,27.525763,2.0981867,0.055233307,5.235436
2017-01-18,37.46,99.49,45.72,77.55,69.82,72.94,70.86,0.2874736,0.16061047,0.08069098,0.3039198,0.05740959,0.05510533,0.05479032,-26.354448,-6.805086,-2.4231734,0.14748366,2.2628787,4.543851,7.598152,12.847606,29.85483,2.2628787,-0.24171488,4.993721
2017-01-19,37.3626,99.33,45.47,77.46,69.47,72.44,70.56,0.28780603,0.1706828,0.08248127,0.28990063,0.057952836,0.055749886,0.05542657,-26.265863,-6.688534,-2.1447928,0.42296064,2.491367,4.7377276,7.815416,13.065371,30.414106,2.491367,0.16312484,5.156846
2017-01-20,37.42,99.41,45.63,77.62,69.66,72.585,70.67,0.27673838,0.171628,0.089038275,0.28503075,0.060812797,0.058675617,0.05807623,-22.75617,-5.2062054,-1.1471798,1.0888878,2.9462457,4.892697,7.553159,12.22447,27.717619,2.9462457,0.3088076,5.4656534
2017-01-23,37.94,99.68,45.61,77.45,69.56,72.68,70.44,0.2848398,0.15080471,0.08257783,0.30457985,0.061020408,0.058457226,0.05772013,-23.597055,-5.532192,-1.2766155,1.0217408,2.905105,4.9371924,7.6206307,12.415573,28.343872,2.905105,0.45600924,5.921663
2017-01-24,38.11,99.52,45.72,78.08,70.03,73.11,71.18,0.25855836,0.16564098,0.09915113,0.28850904,0.06417929,0.06254662,0.061414555,-23.14403,-5.8221416,-1.7063766,0.63777065,2.6311023,4.7664795,7.7427115,12.752458,29.17714,2.6311023,0.47038338,6.392046
